old_game_id_x,posteam,posteam_type,passing_yards,rushing_yards,rushing_tds,receiving_yards,receiving_tds,off_td,def_td_allowed,two_point_conv_result,interception,fumble_lost,field_goal_result,field_goal_attempt,extra_point_result,extra_point_attempt,posteam_score,fourth_down_converted,fourth_down_failed,third_down_converted,third_down_failed,epa_per_rush,epa_per_pass,dropback,pressure_true,pressure,sacks_taken,qh_hits_taken
2023090700,DET,away,253.0,118.0,1,253.0,1,2,0,0,0.0,1.0,0,0.0,3,3.0,21.0,1.0,2.0,5.0,10.0,-0.009220331986206896,0.04473663722643679,35,6,4,1.0,4.0
2023090700,KC,home,226.0,90.0,0,226.0,2,2,1,0,1.0,0.0,2,2.0,2,2.0,20.0,0.0,1.0,5.0,9.0,-0.03187561874074074,-0.079674227654321,45,20,7,0.0,7.0
2023091000,ATL,home,115.0,130.0,2,115.0,1,3,0,0,0.0,0.0,1,1.0,3,3.0,24.0,0.0,0.0,2.0,8.0,-0.008511020657142862,-0.06357785042857143,22,8,5,4.0,4.0
2023091000,CAR,away,146.0,154.0,0,146.0,1,1,0,0,2.0,1.0,1,1.0,1,1.0,10.0,0.0,2.0,5.0,9.0,-0.0977741188901099,-0.1156984946153846,42,17,7,2.0,7.0
2023091001,BAL,home,169.0,110.0,3,169.0,0,3,0,1,1.0,1.0,1,1.0,2,2.0,25.0,0.0,0.0,8.0,7.0,0.015293063113924046,-0.05589446108860759,31,14,8,4.0,7.0
2023091001,HOU,away,242.0,72.0,0,242.0,0,0,0,0,0.0,1.0,3,3.0,0,0.0,9.0,1.0,3.0,7.0,11.0,-0.08643691628723406,-0.12121154763829786,52,16,10,5.0,10.0
2023091002,CIN,away,82.0,75.0,0,82.0,0,0,0,0,0.0,0.0,1,2.0,0,0.0,3.0,0.0,1.0,2.0,13.0,-0.05533800903846153,-0.2549058464102564,34,15,10,2.0,10.0
2023091002,CLE,home,154.0,206.0,1,154.0,1,2,0,1,1.0,1.0,3,3.0,1,1.0,24.0,0.0,0.0,4.0,10.0,0.007909947865168528,-0.12214950719213483,35,18,5,3.0,5.0
2023091003,IND,home,223.0,65.0,1,223.0,1,2,0,0,1.0,2.0,0,0.0,3,3.0,21.0,1.0,4.0,2.0,10.0,-0.1495430495505618,-0.1595804520224719,47,15,8,4.0,6.0
2023091003,JAX,away,241.0,105.0,2,241.0,2,4,1,0,1.0,1.0,1,1.0,4,4.0,31.0,1.0,2.0,3.0,9.0,-0.08093794607058824,-0.10590432022352939,35,7,4,2.0,4.0
2023091004,MIN,home,344.0,41.0,0,344.0,2,2,0,0,1.0,2.0,1,1.0,2,2.0,17.0,0.0,0.0,6.0,8.0,-0.1080307398125,0.004046121753749993,47,13,9,2.0,9.0
2023091004,TB,away,173.0,73.0,0,173.0,2,2,0,0,0.0,0.0,2,2.0,2,2.0,20.0,1.0,0.0,6.0,11.0,-0.08851798070114943,0.010470932586206893,38,10,2,1.0,2.0
2023091005,NO,home,305.0,69.0,0,305.0,1,1,0,0,1.0,1.0,3,3.0,1,1.0,16.0,0.0,0.0,7.0,9.0,-0.11300690803571428,0.04369624171428571,38,16,7,4.0,7.0
2023091005,TEN,away,198.0,104.0,0,198.0,0,0,0,0,3.0,0.0,5,5.0,0,0.0,12.0,0.0,0.0,2.0,10.0,-0.01341974438271605,-0.1486785374074074,40,13,8,3.0,8.0
2023091006,PIT,home,232.0,41.0,0,232.0,1,1,0,0,2.0,0.0,0,0.0,1,1.0,7.0,1.0,2.0,5.0,10.0,-0.009903982202531646,-0.2502878173278481,51,25,9,5.0,9.0
2023091006,SF,away,220.0,188.0,1,220.0,2,3,0,0,0.0,1.0,3,3.0,3,3.0,30.0,1.0,0.0,6.0,7.0,0.04009343604597701,0.07503292085057471,34,16,7,3.0,7.0
2023091007,ARI,away,132.0,96.0,0,132.0,0,0,0,0,0.0,2.0,3,3.0,1,1.0,16.0,0.0,1.0,4.0,10.0,-0.14709599727631578,-0.12157457407894737,33,16,6,3.0,5.0
2023091007,WAS,home,202.0,92.0,1,202.0,1,2,1,0,1.0,2.0,2,2.0,2,2.0,20.0,0.0,0.0,4.0,8.0,-0.06343184880000001,-0.1490340292,39,20,7,6.0,6.0
2023091008,CHI,home,216.0,122.0,1,216.0,1,2,1,1,1.0,1.0,2,2.0,0,0.0,20.0,1.0,1.0,3.0,10.0,-0.008619088131868138,-0.13127178262637362,49,28,6,4.0,6.0
2023091008,GB,away,245.0,92.0,1,245.0,3,4,0,0,0.0,0.0,1,1.0,5,5.0,38.0,1.0,1.0,9.0,7.0,-0.10700724197468355,0.22526143737974685,30,5,3,1.0,3.0
2023091009,DEN,home,177.0,94.0,0,177.0,2,2,0,0,0.0,0.0,1,2.0,1,2.0,16.0,0.0,0.0,5.0,6.0,-0.042151252987012985,0.040878747514285704,36,17,4,2.0,4.0
2023091009,LV,away,200.0,61.0,0,200.0,2,2,0,0,1.0,0.0,1,1.0,2,2.0,17.0,1.0,0.0,5.0,6.0,-0.062446019957746485,0.1843110488661972,29,11,3,0.0,3.0
2023091010,LAC,home,229.0,233.0,3,229.0,1,4,0,0,0.0,0.0,2,2.0,4,4.0,34.0,0.0,1.0,9.0,6.0,0.12840911702,-0.012410655200000007,40,9,4,3.0,4.0
2023091010,MIA,away,466.0,70.0,1,466.0,3,4,0,0,1.0,1.0,3,3.0,3,4.0,36.0,1.0,0.0,4.0,5.0,-0.09167108238095238,0.32236108123809526,46,7,2,0.0,2.0
2023091011,NE,home,316.0,76.0,0,316.0,3,3,1,0,1.0,1.0,0,0.0,2,2.0,20.0,1.0,3.0,5.0,10.0,-0.037098314479166665,-0.13062974926041668,59,16,6,2.0,6.0
2023091011,PHI,away,170.0,97.0,0,170.0,1,1,0,0,0.0,1.0,4,4.0,1,2.0,25.0,0.0,1.0,4.0,9.0,-0.04864438384523811,-0.05785145899047619,38,14,5,3.0,4.0
2023091012,LA,away,334.0,92.0,3,332.0,0,3,0,0,0.0,0.0,3,5.0,3,3.0,27.0,1.0,0.0,11.0,6.0,0.007084866091836734,0.2110202241122449,39,12,2,0.0,2.0
2023091012,SEA,home,112.0,85.0,0,112.0,1,1,0,0,0.0,0.0,2,3.0,1,1.0,13.0,0.0,0.0,2.0,7.0,-0.008177907735294117,-0.06454545182352942,29,9,5,2.0,5.0
2023091013,DAL,away,143.0,122.0,3,143.0,0,3,0,0,0.0,0.0,2,2.0,4,5.0,40.0,1.0,1.0,6.0,7.0,0.023863982994444446,0.021900415416666666,25,11,3,0.0,3.0
2023091013,NYG,home,110.0,108.0,0,110.0,0,0,2,0,2.0,1.0,0,2.0,0,0.0,0.0,3.0,2.0,5.0,11.0,-0.026679630969411765,-0.32589775482352945,44,40,12,7.0,12.0
2023091100,BUF,away,236.0,97.0,0,236.0,1,1,1,0,3.0,1.0,3,3.0,1,1.0,16.0,0.0,0.0,5.0,8.0,-0.03772104690476191,-0.01634290595238095,49,15,9,5.0,9.0
2023091100,NYJ,home,140.0,172.0,0,140.0,1,1,0,0,1.0,0.0,3,3.0,1,1.0,22.0,1.0,0.0,5.0,8.0,0.038936666097222225,-0.07252073125,26,10,7,3.0,7.0
